RecordKey,IsrcValue,Datestamp
2b3e0e40-d550-4de0-a9cd-b9d0225eef05,GBF087800744,2021-09-02 20:08:22.652984
eea50db8-9cd8-40d0-93ba-219c93737326,GBF080300292,2021-09-02 20:08:22.652984
c1dac5b9-ba5c-4357-a4a2-5dbf20d88396,GBBLY1603989,2021-09-02 20:08:22.652984
0de11005-168f-4462-ade8-eab53564dcb1,GBF087700019,2021-09-02 20:08:22.652984
2c9a2bca-23fe-419e-8247-13d108ca405a,GBF087700750,2021-09-02 20:08:22.652984
8619e9cb-c5ce-46e9-8a9f-43189ac71811,GBF088100040,2021-09-02 20:08:22.652984
c0e1b536-2ef7-4a1e-bb05-e279880d5e4d,GBF087700736,2021-09-02 20:08:22.652984
acacbccc-66ce-4367-953a-c1e7f738b22c,GBF087700756,2021-09-02 20:08:22.652984
366ee078-a02a-42c1-a201-5ff64b99983d,GBF087800750,2021-09-02 20:08:22.652984
896d5a5e-8feb-4131-91a7-f7aeeb3cc326,GBCBU7410342,2021-09-02 20:08:22.652984
59f0c3af-03c7-4d1c-9824-fd74325bdd76,GBF087800746,2021-09-02 20:08:22.652984
db723f69-d1d3-4a6f-b8ca-dd99ba4c44cb,GBCBU7410337,2021-09-02 20:08:22.652984
1e295f50-d307-4959-b786-36132e282684,GBF080180520,2021-09-02 20:08:22.652984
8361f828-8faa-4705-ae77-bbbd2a79d6b1,GBF087700006,2021-09-02 20:08:22.652984
2223d950-9f68-46c0-9d2c-f8ec79cb42a0,GBF087700746,2021-09-02 20:08:22.652984
de750977-d547-4147-b61b-ccf28d26a7e0,GBUM71206695,2021-09-02 20:08:22.652984
86a1371e-2177-4195-8b6e-9a2885c934e9,GBF087800029,2021-09-02 20:08:22.652984
bd984107-7f77-45cc-9fd0-8505e42e3fec,GBF087500149,2021-09-02 20:08:22.652984
29cd9557-5aa2-4ec1-b93f-f232c339fe31,GBF087300180,2021-09-02 20:08:22.652984
b4c58b58-42e8-4857-baf8-ddfbf1e762ab,GBCBU7310332,2021-09-02 20:08:22.652984
2deac7a4-3e2d-4449-855e-5b81812c8f83,GBCBU7310332,2021-09-02 20:08:22.652984
4c436157-c034-4e57-87c4-770bc3160609,GBF088200014,2021-09-02 20:08:22.652984
fe000616-c72c-43d4-8cba-a4083e99636b,GBCBU7310345,2021-09-02 20:08:22.652984
55df218d-6cd1-477c-905c-c1ef28614555,GBCBU7310347,2021-09-02 20:08:22.652984
302537cc-eb19-4895-a0d4-775a0979926c,GBF087700748,2021-09-02 20:08:22.652984
8e1a0dab-0a82-4b93-b87c-128268d3ef7f,GBF087800742,2021-09-02 20:08:22.652984
3059506e-3e91-4dbd-9dfc-1383f4bb686b,GBCBU7410334,2021-09-02 20:08:22.652984
70991aab-70cb-4ff2-b2b0-091ec1386d6a,GBF087400153,2021-09-02 20:08:22.652984
31e914a9-a741-45ae-824e-38321c3bc16c,GBCBU7410339,2021-09-02 20:08:22.652984
e7bdc8a7-8ef6-441a-afe5-960356725cf8,GBCBU7310346,2021-09-02 20:08:22.652984
0f1ec397-4f4d-40b8-aacc-8554801ff5ca,GBF087800018,2021-09-02 20:08:22.652984
2c8c0585-54c2-4591-a3ad-38f3f3e713cc,GBF087800751,2021-09-02 20:08:22.652984
a455edfe-dc3d-4269-bd42-be54ccf88053,GBCBU7310333,2021-09-02 20:08:22.652984
a455edfe-dc3d-4269-bd42-be54ccf88053,GBF087300181,2021-09-02 20:08:22.652984
c0b1b025-3b57-4b1f-9bba-82c8f9f6e264,GBCBU7310333,2021-09-02 20:08:22.652984
