id,type,title,language,iswc,disambiguation,datestamp
660e9c82-497b-307b-8374-1f5489becdaf,Song,In Dreams,eng,T-070.919.142-3,,2021-09-01 07:54:18.340746
b95ada7c-b351-4a40-bb4c-025fedd21372,Song,Get Outta My Way,eng,,,2021-09-01 07:54:18.340746
7003d633-45ac-4833-a910-7338020d310d,Song,Wild Horses,eng,T-912.976.622-9,,2021-09-01 07:54:18.340746
62049eed-5a36-4332-85f5-8e28151d997b,Song,Tous les secrets de ton coeur,fra,T-004.680.852-9,,2021-09-01 07:54:18.340746
f769077a-fc0e-3cb4-b7cb-3b87f09c9cc7,Song,Lollipops and Roses,eng,T-070.268.683-6,,2021-09-01 07:54:18.340746
7c0ef421-b37d-4a70-b829-f58b2aa3fdf2,Song,Black Lines,eng,,,2021-09-01 07:54:18.340746
deee8d23-5cac-4364-81ae-cb513a4ab29e,Song,Don’t,eng,,,2021-09-01 07:54:18.340746
634f83cd-4026-3d85-bc1e-779605265ce1,,I Saw Three Ships,eng,,,2021-09-01 07:54:18.340746
07a657fa-5988-4c39-9c80-c320340b89d7,Song,Afraid,eng,T-072.763.288-3,,2021-09-01 07:54:18.340746
d9f578d5-9542-452d-9b2b-3e3a56b2244e,Song,Pollywanacraka,,,,2021-09-01 07:54:18.340746
d1123631-8e18-3838-8b05-058d4aa3bb89,,"Scabs, Guns and Peanut Butter",,,,2021-09-01 07:54:18.340746
f5cbae8c-fee6-495a-a2ee-037cccaa0d26,Song,"Darling, je vous aime beaucoup",eng,T-070.038.406-0,,2021-09-01 07:54:18.340746
43ea7726-c887-3f98-9acf-4bc341d5ccc0,,Take the Bitter With the Sweet,,T-902.851.935-9,,2021-09-01 07:54:18.340746
9e810601-6ff6-3794-9ca2-bfdb83afb94e,Song,Lifetime of Dreams,eng,T-071.890.242-1,,2021-09-01 07:54:18.340746
c7d17a3a-5a04-403e-ab0d-26023a092f18,Song,Whisper of Truth,eng,,,2021-09-01 07:54:18.340746
9c70d4d0-470d-4feb-8cd2-b6de7ee6b65c,Song,Endless Flight,eng,T-070.252.947-2,,2021-09-01 07:54:18.340746
1b33f239-7342-4f36-8664-f66f57a81dc4,Song,This Town,,,,2021-09-01 07:54:18.340746
54495e1e-9b57-428d-b1cb-7e85ff1f57a6,Song,Calling Cathy,,T-004.493.517-2,,2021-09-01 07:54:18.340746
f030f395-6326-40b2-986b-2d07103a94f8,Song,Reload,eng,,,2021-09-01 07:54:18.340746
6da17cf1-09a9-4a1f-924f-93ed6ccf683f,Song,Monday Blues,eng,,,2021-09-01 07:54:18.340746
b1becb67-9e60-45a1-8201-5815a1f92593,Song,Give a Little Love,eng,T-801.474.475-4,,2021-09-01 07:54:18.340746
6eae2de4-11ee-3ed0-84fd-670d1469b239,,I Know You Got Soul,,,,2021-09-01 07:54:18.340746
9e688894-44d8-3b2d-8e54-7c724cb5dead,Song,The Outlaw Torn,eng,T-070.163.466-3,,2021-09-01 07:54:18.340746
