ID,input_artist,input_song_name
157,MASKINEN,KROSSA ALLA FONSTER
158,MASSIVE ATTACK,TEARDROP
159,MAXX,I CAN MAKE YOU FEEL LIKE
160,MC SOLAAR,LE RABBI MUFFIN
161,MEAT LOAF,ROCK AND ROLL DREAMS COME THROUGH
162,MEMBERS OF MAYDAY,10IN01
163,METALLICA,MOTH INTO FLAME
164,MICHAEL BOLTON,STEEL BARS
165,MICHAEL JACKSON,BEAT IT
166,MICHAEL WATFORD,SO INTO YOU
167,MICHELLE GAYLE,DO YOU KNOW
168,MIDGE URE,NO REGRETS
169,MIKE CANDYS,BRING BACK THE LOVE
170,MIKE OLDFIELD,ISLANDS
171,MILEY CYRUS,CANT BE TAMED
172,MILK INC,WIDE AWAKE
173,MIRANDA LAMBERT,THE HOUSE THAT BUILT ME
174,MISTY OLDLAND,I WROTE YOU A SONG
175,MN8,HAPPY
176,MOBY,I FEEL IT
177,MONDO ROCK,PRIMITIVE LOVE RITES
178,MORGAN WALLEN,MORE THAN MY HOMETOWN
179,MR PRESIDENT,TAKE ME TO THE LIMIT
180,MUSE,THE 2ND LAW UNSUSTAINABLE
181,NACASH,ELLE IMAGINE
182,NAS,STREET DREAMS
183,NATALIE COLE,IVE GOT LOVE ON MY MIND
184,NAUGHTY BY NATURE,CRAZIEST
185,NEIL YOUNG,LONG MAY YOU RUN LIVE
186,NELLY,JUST A DREAM
187,NELLY FURTADO,IM LIKE A BIRD
188,NEW ORDER,60 MILES AN HOUR
189,NEWTON FAULKNER,DREAM CATCH ME
190,NICKELBACK,HOW YOU REMIND ME
191,NICO SANTOS,ROOFTOP
192,NINA NESBITT,WAY IN THE WORLD
193,NIRVANA,SMELLS LIKE TEEN SPIRIT
194,NOEL GALLAGHERS HIGH FLYING,RIVERMAN
195,NORAH JONES,SUNRISE
196,NORMAAL,T WURD TIED DAT WIJ WEER ES GOAT DANSEN
197,NUSH,U GIRLS
198,OASIS,SOME MIGHT SAY
199,OCEAN COLOUR SCENE,TRAVELLERS TUNE
200,OLIVIA RUIZ,PARIS
201,OMAR,OUTSIDE
202,ONE NIGHT ONLY,ITS ABOUT TIME
203,ONEREPUBLIC,APOLOGIZE
204,OTIS REDDING,SITTIN ON THE DOCK OF THE BAY
205,OUTKAST,HEY YA
206,OWL CITY,FIREFLIES
207,PANDORA,ONE OF A KIND
208,PATTI AUSTIN,EVERY HOME SHOULD HAVE ONE
209,PAUL KOULAK,FORT BOYARD
210,PAUL MCCARTNEY,TUG OF WAR
211,PAUL WELLER,SUNFLOWER
212,PEARL JAM,DAUGHTER
213,PET SHOP BOYS,CAN YOU FORGIVE HER
214,PETER ANDRE,KISS THE GIRL
215,PETER SCHAAP,VLIEGEN ALS EEN VOGEL
216,PHIL BARNEY,IL EST PARTI
217,PHIL COLLINS,WHO SAID I WOULD
218,PIET VEERMAN,WHEN YOU WALK IN THE ROOM
219,PITBULL,TIMBER
220,PLACEBO,TOO MANY FRIENDS
221,PLASTIC BOY,TWIXT
222,PLEASURE GAME,LE SEIGNEUR DES TENEBRES
223,POCO LOCO GANG,POCO LOCO
224,POINTER SISTERS,IM SO EXCITED
225,POISON,SOMETHING TO BELIEVE IN
226,PREZIOSO,LET ME STAY
227,PRIMAL SCREAM,AUTOBAHN 66
228,PRINCE ITAL JOE,UNITED
229,PROCLAIMERS,IM GONNA BE 500 MILES
230,PRODIGY,OUT OF SPACE
231,PUBLIC ENEMY,WELCOME TO THE TERRORDOME
232,PULP,SOMETHING CHANGED
233,QUEEN,TOO MUCH LOVE WILL KILL YOU
234,QUEENS OF THE STONE AGE,MAKE IT WIT CHU
235,RADIOHEAD,NO SURPRISES
236,RANK 1,AWAKENING
237,RAY CHARLES,GEORGIA ON MY MIND
238,REAL PEOPLE,ROLLING STONE
239,RED HOT CHILI PEPPERS,SCAR TISSUE
240,RENE FROGER,JUST SAY HELLO
241,REX GILDO,LASS MICH DICH NOCH EINMAL SPURN
242,RICHARD ASHCROFT,BUY IT IN BOTTLES
243,RICKY MARTIN,SHE BANGS
244,RIHANNA,RUDE BOY
245,RITA ORA,ONLY WANT YOU
246,RMB,BREAK THE SILENCE
247,ROB ZOMBIE,DRAGULA
248,ROBBIE WILLIAMS,CANDY
249,ROBERT DOWNEY JR,SMILE
250,ROBERT MILES,CHILDREN
